,Country,Year,Value(Imports),Share,Growth
531,GERMANY,2022,14968.1,2.4416,9.71
532,GHANA,2022,1497.77,0.2443,8.93
533,GIBRALTAR,2022,0.25,0.0,-46.14
534,GREECE,2022,299.94,0.0489,109.73
535,GREENLAND,2022,0.0,,
536,GRENADA,2022,0.74,0.0001,62.23
537,GUADELOUPE,2022,0.74,0.0001,8.17
538,GUAM,2022,0.11,0.0,256.68
539,GUATEMALA,2022,21.08,0.0034,1.6
540,GUINEA,2022,3616.56,0.5899,121.74
541,GUINEA BISSAU,2022,174.34,0.0284,37.28
542,GUYANA,2022,156.96,0.0256,1291.93
543,HAITI,2022,21.86,0.0036,62.27
544,HONDURAS,2022,21.12,0.0034,68.06
545,HONG KONG,2022,19096.61,3.115,25.86
546,HUNGARY,2022,293.67,0.0479,34.15
547,ICELAND,2022,5.71,0.0009,-8.18
548,INDONESIA,2022,17702.83,2.8877,41.96
549,INSTALLATIONS IN INTERNATIONAL WATERS,2022,0.1,0.0,
550,IRAN,2022,463.38,0.0756,39.79
551,IRAQ,2022,31927.05,5.2079,123.47
552,IRELAND,2022,1135.81,0.1853,174.04
553,ISRAEL,2022,3073.79,0.5014,56.81
554,ITALY,2022,5048.47,0.8235,30.72
555,JAMAICA,2022,1.8,0.0003,-19.04
556,JAPAN,2022,14399.77,2.3489,31.81
557,JORDAN,2022,1827.19,0.298,71.48
558,KAZAKHSTAN,2022,325.77,0.0531,-59.53
559,KENYA,2022,145.35,0.0237,11.58
560,KIRIBATI REP,2022,0.04,0.0,
561,KOREA DP RP,2022,5.26,0.0009,271.98
562,KOREA RP,2022,17477.2,2.8509,36.83
563,KUWAIT,2022,11001.76,1.7946,111.0
564,KYRGHYZSTAN,2022,1.79,0.0003,-65.25
565,LAO PD RP,2022,0.8,0.0001,-52.88
566,LATVIA,2022,134.64,0.022,175.46
567,LEBANON,2022,32.46,0.0053,16.13
568,LESOTHO,2022,0.0,,
569,LIBERIA,2022,21.2,0.0035,204.95
570,LIBYA,2022,358.2,0.0584,407.95
571,LIECHTENSTEIN,2022,0.83,0.0001,148.32
572,LITHUANIA,2022,200.92,0.0328,-37.42
573,LUXEMBOURG,2022,67.39,0.011,121.01
574,MACAO,2022,20.11,0.0033,-17.99
575,MACEDONIA,2022,1.19,0.0002,-79.47
576,MADAGASCAR,2022,144.06,0.0235,79.76
577,MALAWI,2022,107.71,0.0176,1422.63
578,MALAYSIA,2022,12424.2,2.0266,48.38
579,MALDIVES,2022,68.93,0.0112,181.51
580,MALI,2022,22.85,0.0037,63.61
581,MALTA,2022,22.88,0.0037,-3.49
582,MARSHALL ISLAND,2022,1.19,0.0002,-28.16
583,MARTINIQUE,2022,0.48,0.0001,-41.05
584,MAURITANIA,2022,12.02,0.002,118.7
585,MAURITIUS,2022,71.87,0.0117,68.68
586,MAYOTTE,2022,1.15,0.0002,257.84
587,MEXICO,2022,4248.04,0.6929,49.27
588,MOLDOVA,2022,0.09,0.0,-91.0
589,MONACO,2022,0.37,0.0001,4883.43
590,MONGOLIA,2022,0.54,0.0001,28.35
591,MONTENEGRO,2022,0.35,0.0001,-11.71
592,MOROCCO,2022,2244.19,0.3661,56.19
593,MOZAMBIQUE,2022,1879.49,0.3066,197.57
594,MYANMAR,2022,1001.87,0.1634,90.19
595,N. MARIANA IS.,2022,0.05,0.0,-81.57
596,NAMIBIA,2022,45.99,0.0075,52.17
597,NAURU RP,2022,23.28,0.0038,42516.55
598,NEPAL,2022,1371.04,0.2236,103.67
599,NETHERLAND,2022,4478.1,0.7305,34.98
600,NETHERLANDANTIL,2022,16.12,0.0026,295.91
601,NEW CALEDONIA,2022,8.11,0.0013,347.97
602,NEW ZEALAND,2022,374.84,0.0611,-1.75
603,NICARAGUA,2022,9.51,0.0016,53.8
604,NIGER,2022,15.99,0.0026,288.49
605,NIGERIA,2022,10291.58,1.6787,81.43
606,NORFOLK IS,2022,0.35,0.0001,42.94
607,NORWAY,2022,2092.36,0.3413,210.6
608,OMAN,2022,6840.65,1.1158,121.53
609,PAKISTAN IR,2022,2.54,0.0004,6.28
610,PALAU,2022,0.0,,
611,PANAMA REPUBLIC,2022,292.4,0.0477,787.53
612,PAPUA N GNA,2022,357.58,0.0583,184.13
613,PARAGUAY,2022,16.3,0.0027,4.41
614,PERU,2022,2707.38,0.4416,78.01
615,PHILIPPINES,2022,729.12,0.1189,27.36
616,PITCAIRN IS.,2022,0.0,,
617,POLAND,2022,1124.79,0.1835,59.24
618,PORTUGAL,2022,164.54,0.0268,44.38
619,PUERTO RICO,2022,54.9,0.009,88.62
620,QATAR,2022,13193.7,2.1521,66.37
621,REUNION,2022,27.71,0.0045,50.48
622,ROMANIA,2022,263.1,0.0429,35.64
623,RUSSIA,2022,9869.99,1.61,79.92
624,RWANDA,2022,7.55,0.0012,13.18
625,SAMOA,2022,0.38,0.0001,-15.51
626,SAN MARINO,2022,0.07,0.0,-10.41
627,SAO TOME,2022,0.0,0.0,-100.0
628,SAUDI ARAB,2022,34100.58,5.5624,110.67
629,SENEGAL,2022,696.16,0.1136,73.55
630,SERBIA,2022,11.07,0.0018,51.42
631,SEYCHELLES,2022,3.92,0.0006,7.68
632,SIERRA LEONE,2022,16.92,0.0028,94.34
633,SINGAPORE,2022,18962.19,3.0931,42.52
634,SLOVAK REP,2022,101.86,0.0166,186.27
635,SLOVENIA,2022,303.24,0.0495,11.57
636,SOLOMON IS,2022,25.93,0.0042,-23.42
637,SOMALIA,2022,18.06,0.0029,218.4
638,SOUTH AFRICA,2022,10965.81,1.7887,44.89
639,SOUTH SUDAN,2022,1.23,0.0002,-22.08
640,SPAIN,2022,2052.99,0.3349,35.79
641,SRI LANKA DSR,2022,1009.97,0.1647,57.09
642,ST HELENA,2022,0.01,0.0,-34.83
643,ST KITT N A,2022,2.98,0.0005,302836.43
644,ST LUCIA,2022,0.14,0.0,-63.77
645,ST VINCENT,2022,0.0,0.0,-99.98
646,STATE OF PALEST,2022,0.3,0.0,101.11
647,SUDAN,2022,129.15,0.0211,-64.93
648,SURINAME,2022,31.93,0.0052,-6.47
649,SWAZILAND,2022,234.98,0.0383,361.91
650,SWEDEN,2022,1450.13,0.2365,44.33
651,SWITZERLAND,2022,23392.32,3.8157,28.31
652,SYRIA,2022,15.61,0.0025,1.98
653,TAIWAN,2022,6234.48,1.017,54.44
654,TAJIKISTAN,2022,10.74,0.0018,910.14
655,TANZANIA REP,2022,2279.18,0.3718,143.79
656,THAILAND,2022,9332.59,1.5223,64.24
657,TIMOR LESTE,2022,0.0,0.0,-97.77
658,TOGO,2022,376.85,0.0615,25.52
659,TOKELAU IS,2022,0.42,0.0001,2105.93
660,TONGA,2022,0.0,,
661,TRINIDAD,2022,112.2,0.0183,-40.75
662,TUNISIA,2022,297.83,0.0486,141.44
663,TURKEY,2022,1996.75,0.3257,36.08
664,TURKMENISTAN,2022,10.07,0.0016,3305.49
665,TURKS C IS,2022,0.01,0.0,-89.43
666,U ARAB EMTS,2022,44833.48,7.3132,68.4
667,U K,2022,7017.78,1.1447,41.61
668,U S A,2022,43314.07,7.0653,49.94
669,UGANDA,2022,142.33,0.0232,268.79
670,UKRAINE,2022,2913.61,0.4753,36.16
671,UNSPECIFIED,2022,45.85,0.0075,-18.77
672,URUGUAY,2022,161.49,0.0263,-1.28
673,US MINOR OUTLYING ISLANDS,2022,0.13,0.0,-55.89
674,UZBEKISTAN,2022,71.35,0.0116,377.54
675,VANUATU REP,2022,0.0,,
676,VATICAN CITY,2022,0.0,,
677,VENEZUELA,2022,89.42,0.0146,-87.48
678,VIETNAM SOC REP,2022,7438.52,1.2134,21.53
679,VIRGIN IS US,2022,0.44,0.0001,405.1
680,WALLIS F IS,2022,0.0,,
681,YEMEN REPUBLC,2022,227.81,0.0372,873.92
682,ZAMBIA,2022,118.18,0.0193,-6.57
683,ZIMBABWE,2022,7.77,0.0013,36.22
684,AFGHANISTAN,2023,452.81,0.0632,-11.38
685,ALBANIA,2023,10.57,0.0015,-65.57
686,ALGERIA,2023,1503.97,0.2101,49.76
687,AMERI SAMOA,2023,0.02,0.0,587.41
688,ANDORRA,2023,0.0,0.0,
689,ANGOLA,2023,3599.31,0.5027,32.08
690,ANGUILLA,2023,0.03,0.0,-4.75
691,ANTARTICA,2023,0.89,0.0001,-26.72
692,ANTIGUA,2023,0.52,0.0001,289.24
693,ARGENTINA,2023,3929.1,0.5488,-6.49
694,ARMENIA,2023,72.89,0.0102,-45.94
695,ARUBA,2023,0.77,0.0001,-56.6
696,AUSTRALIA,2023,19011.31,2.6553,13.46
697,AUSTRIA,2023,837.63,0.117,1.51
698,AZERBAIJAN,2023,497.58,0.0695,374.73
699,BAHAMAS,2023,3.68,0.0005,4.64
700,BAHARAIN IS,2023,1014.5,0.1417,34.68
701,BANGLADESH PR,2023,2021.24,0.2823,2.19
702,BARBADOS,2023,1.29,0.0002,53.05
703,BELARUS,2023,67.9,0.0095,-82.18
704,BELGIUM,2023,9177.67,1.2819,-7.78
705,BELIZE,2023,1.06,0.0001,111.54
706,BENIN,2023,452.58,0.0632,12.55
707,BERMUDA,2023,0.05,0.0,336.45
708,BHUTAN,2023,535.61,0.0748,-1.73
709,BOLIVIA,2023,2550.21,0.3562,23.05
710,BOSNIA-HRZGOVIN,2023,2.51,0.0004,-17.03
711,BOTSWANA,2023,459.97,0.0642,-12.88
712,BR VIRGN IS,2023,10.55,0.0015,-28.31
713,BRAZIL,2023,6672.52,0.932,16.79
714,BRUNEI,2023,303.99,0.0425,-22.93
715,BULGARIA,2023,433.19,0.0605,150.1
716,BURKINA FASO,2023,116.34,0.0162,-72.65
717,BURUNDI,2023,0.39,0.0001,863.93
718,C AFRI REP,2023,2.65,0.0004,1350.93
719,CAMBODIA,2023,146.02,0.0204,53.89
720,CAMEROON,2023,550.39,0.0769,-31.75
721,CANADA,2023,4167.56,0.5821,33.03
722,CAPE VERDE IS,2023,4.43,0.0006,-4.2
723,CAYMAN IS,2023,0.0,0.0,-98.99
724,CHAD,2023,6.14,0.0009,104.89
725,CHILE,2023,1435.83,0.2005,4.72
726,CHINA P RP,2023,98505.77,13.7584,4.16
727,CHRISTMAS IS.,2023,0.0,,
728,COLOMBIA,2023,2634.19,0.3679,-11.14
729,COMOROS,2023,16.11,0.0022,8.33
730,CONGO D. REP.,2023,214.12,0.0299,586.07
731,CONGO P REP,2023,2026.19,0.283,54.7
732,COSTA RICA,2023,60.78,0.0085,-3.95
733,COTE D' IVOIRE,2023,665.18,0.0929,41.9
734,CROATIA,2023,117.54,0.0164,97.78
735,CUBA,2023,4.87,0.0007,389.45
736,CYPRUS,2023,116.17,0.0162,56.32
737,CZECH REPUBLIC,2023,778.09,0.1087,31.41
738,DENMARK,2023,770.37,0.1076,-13.32
739,DJIBOUTI,2023,55.88,0.0078,34.08
740,DOMINIC REP,2023,360.31,0.0503,-44.46
741,DOMINICA,2023,0.6,0.0001,214.06
742,ECUADOR,2023,1016.41,0.142,0.4
743,EGYPT A RP,2023,1951.54,0.2726,-44.57
744,EL SALVADOR,2023,2.31,0.0003,-43.82
745,EQUTL GUINEA,2023,711.96,0.0994,-19.6
746,ERITREA,2023,0.0,0.0,-97.74
747,ESTONIA,2023,139.95,0.0195,93.56
748,ETHIOPIA,2023,57.06,0.008,-8.62
749,FAROE IS.,2023,0.08,0.0,
750,FIJI IS,2023,0.1,0.0,-79.61
751,FINLAND,2023,1491.62,0.2083,70.22
752,FR GUIANA,2023,1.75,0.0002,430.03
753,FR POLYNESIA,2023,0.52,0.0001,-53.0
754,FRANCE,2023,6201.05,0.8661,7.25
755,GABON,2023,398.47,0.0557,-62.78
756,GAMBIA,2023,51.15,0.0071,17.62
757,GEORGIA,2023,167.04,0.0233,-15.05
758,GERMANY,2023,16601.53,2.3188,10.91
759,GHANA,2023,1909.59,0.2667,27.5
760,GIBRALTAR,2023,71.99,0.0101,29243.35
761,GREECE,2023,1157.9,0.1617,286.04
762,GREENLAND,2023,0.17,0.0,
763,GRENADA,2023,1.45,0.0002,95.44
764,GUADELOUPE,2023,0.32,0.0,-57.12
765,GUAM,2023,0.17,0.0,52.68
766,GUATEMALA,2023,20.7,0.0029,-1.81
767,GUERNSEY,2023,0.01,0.0,
768,GUINEA,2023,2082.84,0.2909,-42.41
769,GUINEA BISSAU,2023,169.93,0.0237,-2.53
770,GUYANA,2023,4.22,0.0006,-97.31
771,HAITI,2023,12.06,0.0017,-44.82
772,HONDURAS,2023,15.42,0.0022,-26.97
773,HONG KONG,2023,18274.95,2.5525,-4.3
774,HUNGARY,2023,307.19,0.0429,4.6
775,ICELAND,2023,4.95,0.0007,-13.28
776,INDONESIA,2023,28820.41,4.0254,62.8
777,INSTALLATIONS IN INTERNATIONAL WATERS,2023,0.0,,
778,IRAN,2023,672.12,0.0939,45.05
779,IRAQ,2023,34385.5,4.8027,7.7
780,IRELAND,2023,3630.44,0.5071,219.64
781,ISRAEL,2023,2323.19,0.3245,-24.42
782,ITALY,2023,5591.91,0.781,10.76
783,JAMAICA,2023,4.99,0.0007,176.69
784,JAPAN,2023,16495.32,2.3039,14.55
785,JORDAN,2023,2290.4,0.3199,25.35
786,KAZAKHSTAN,2023,205.13,0.0287,-37.03
787,KENYA,2023,116.68,0.0163,-19.73
788,KIRIBATI REP,2023,0.0,,
789,KOREA DP RP,2023,2.48,0.0003,-52.82
790,KOREA RP,2023,21227.32,2.9648,21.46
791,KUWAIT,2023,12247.37,1.7106,11.32
792,KYRGHYZSTAN,2023,4.19,0.0006,133.61
793,LAO PD RP,2023,74.3,0.0104,9181.42
794,LATVIA,2023,250.12,0.0349,85.77
795,LEBANON,2023,92.49,0.0129,184.9
796,LESOTHO,2023,0.0,0.0,
797,LIBERIA,2023,26.8,0.0037,26.45
798,LIBYA,2023,729.89,0.1019,103.77
799,LIECHTENSTEIN,2023,1.97,0.0003,135.74
800,LITHUANIA,2023,114.24,0.016,-43.14
801,LUXEMBOURG,2023,100.82,0.0141,49.6
802,MACAO,2023,13.4,0.0019,-33.38
803,MACEDONIA,2023,1.37,0.0002,15.15
804,MADAGASCAR,2023,129.49,0.0181,-10.11
805,MALAWI,2023,42.76,0.006,-60.3
806,MALAYSIA,2023,12734.94,1.7787,2.5
807,MALDIVES,2023,496.62,0.0694,620.49
808,MALI,2023,20.02,0.0028,-12.39
809,MALTA,2023,51.35,0.0072,124.4
810,MARSHALL ISLAND,2023,0.88,0.0001,-26.34
811,MARTINIQUE,2023,1.21,0.0002,151.16
812,MAURITANIA,2023,231.68,0.0324,1827.97
813,MAURITIUS,2023,91.5,0.0128,27.31
814,MAYOTTE,2023,0.73,0.0001,-36.32
815,MEXICO,2023,3867.56,0.5402,-8.96
816,MOLDOVA,2023,3.93,0.0005,4259.31
817,MONACO,2023,1.0,0.0001,170.57
818,MONGOLIA,2023,0.94,0.0001,73.01
819,MONTENEGRO,2023,0.1,0.0,-72.6
820,MONTSERRAT,2023,0.0,0.0,
821,MOROCCO,2023,2549.44,0.3561,13.6
822,MOZAMBIQUE,2023,2521.96,0.3522,34.18
823,MYANMAR,2023,954.74,0.1333,-4.7
824,N. MARIANA IS.,2023,0.22,0.0,317.52
825,NAMIBIA,2023,37.54,0.0052,-18.38
826,NAURU RP,2023,0.03,0.0,-99.89
827,NEPAL,2023,841.52,0.1175,-38.62
828,NETHERLAND,2023,5961.36,0.8326,33.12
829,NETHERLANDANTIL,2023,18.05,0.0025,11.98
830,NEW CALEDONIA,2023,7.19,0.001,-11.41
831,NEW ZEALAND,2023,477.74,0.0667,27.45
832,NICARAGUA,2023,10.64,0.0015,11.94
833,NIGER,2023,119.5,0.0167,647.26
834,NIGERIA,2023,6692.65,0.9348,-34.97
835,NIUE IS,2023,0.0,0.0,
836,NORFOLK IS,2023,0.21,0.0,-40.0
837,NORWAY,2023,938.06,0.131,-55.17
838,OMAN,2023,7911.18,1.105,15.65
839,PAKISTAN IR,2023,20.11,0.0028,692.71
840,PANAMA REPUBLIC,2023,283.35,0.0396,-3.1
841,PAPUA N GNA,2023,643.36,0.0899,79.92
842,PARAGUAY,2023,19.8,0.0028,21.45
843,PERU,2023,2250.75,0.3144,-16.87
844,PHILIPPINES,2023,959.59,0.134,31.61
845,PITCAIRN IS.,2023,0.0,0.0,
846,POLAND,2023,1366.4,0.1908,21.48
847,PORTUGAL,2023,196.1,0.0274,19.18
848,PUERTO RICO,2023,119.41,0.0167,117.51
849,QATAR,2023,16808.1,2.3476,27.39
850,REUNION,2023,28.86,0.004,4.13
851,ROMANIA,2023,562.21,0.0785,113.69
852,RUSSIA,2023,46212.71,6.4546,368.21
853,RWANDA,2023,40.19,0.0056,432.4
854,SAMOA,2023,15.76,0.0022,4008.08
855,SAN MARINO,2023,0.07,0.0,-10.95
856,SAO TOME,2023,0.0,0.0,282245.28
857,SAUDI ARAB,2023,42035.27,5.8711,23.27
858,SENEGAL,2023,1377.37,0.1924,97.85
859,SERBIA,2023,13.71,0.0019,23.89
860,SEYCHELLES,2023,8.96,0.0013,128.75
861,SIERRA LEONE,2023,49.79,0.007,194.24
862,SINGAPORE,2023,23595.35,3.2956,24.43
863,SLOVAK REP,2023,70.92,0.0099,-30.37
864,SLOVENIA,2023,297.83,0.0416,-1.78
865,SOLOMON IS,2023,33.09,0.0046,27.6
866,SOMALIA,2023,17.9,0.0025,-0.93
867,SOUTH AFRICA,2023,10397.83,1.4523,-5.18
868,SOUTH SUDAN,2023,1.13,0.0002,-8.15
869,SPAIN,2023,3001.68,0.4192,46.21
870,SRI LANKA DSR,2023,1078.14,0.1506,6.75
871,ST HELENA,2023,0.03,0.0,401.14
872,ST KITT N A,2023,1.22,0.0002,-58.98
873,ST LUCIA,2023,0.11,0.0,-23.16
874,ST VINCENT,2023,0.0,,
875,STATE OF PALEST,2023,0.42,0.0001,40.33
876,SUDAN,2023,218.18,0.0305,68.93
877,SURINAME,2023,48.89,0.0068,53.14
878,SWAZILAND,2023,4.92,0.0007,-97.91
879,SWEDEN,2023,1729.61,0.2416,19.27
880,SWITZERLAND,2023,15793.95,2.206,-32.48
881,SYRIA,2023,9.22,0.0013,-40.95
882,TAIWAN,2023,8264.3,1.1543,32.56
883,TAJIKISTAN,2023,0.52,0.0001,-95.12
884,TANZANIA REP,2023,2541.31,0.3549,11.5
885,THAILAND,2023,11193.36,1.5634,19.94
886,TIMOR LESTE,2023,0.0,0.0,60.56
887,TOGO,2023,540.81,0.0755,43.51
888,TOKELAU IS,2023,0.03,0.0,-93.94
889,TONGA,2023,0.03,0.0,
890,TRINIDAD,2023,91.26,0.0127,-18.66
891,TUNISIA,2023,421.24,0.0588,41.44
892,TURKEY,2023,4208.84,0.5879,110.78
893,TURKMENISTAN,2023,101.72,0.0142,910.35
894,TURKS C IS,2023,0.04,0.0,622.03
895,U ARAB EMTS,2023,53231.55,7.4349,18.73
896,U K,2023,8960.73,1.2516,27.69
897,U S A,2023,50863.87,7.1042,17.43
898,UGANDA,2023,492.82,0.0688,246.25
899,UKRAINE,2023,650.26,0.0908,-77.68
900,UNSPECIFIED,2023,95.27,0.0133,107.78
901,URUGUAY,2023,198.71,0.0278,23.05
902,US MINOR OUTLYING ISLANDS,2023,0.1,0.0,-21.05
903,UZBEKISTAN,2023,48.4,0.0068,-32.17
904,VATICAN CITY,2023,0.02,0.0,
905,VENEZUELA,2023,252.85,0.0353,182.78
906,VIETNAM SOC REP,2023,8794.73,1.2284,18.23
907,VIRGIN IS US,2023,1.01,0.0001,133.1
908,YEMEN REPUBLC,2023,160.91,0.0225,-29.37
909,ZAMBIA,2023,184.93,0.0258,56.48
910,ZIMBABWE,2023,9.18,0.0013,18.1
911,500,2024,76.77,0.0113,
912,AFGHANISTAN,2024,642.29,0.0947,41.85
913,ALBANIA,2024,7.59,0.0011,-28.18
914,ALGERIA,2024,885.54,0.1306,-41.12
915,AMERI SAMOA,2024,0.05,0.0,175.04
916,ANDORRA,2024,0.05,0.0,25061.41
917,ANGOLA,2024,3495.04,0.5153,-2.9
918,ANGUILLA,2024,0.3,0.0,981.84
919,ANTARTICA,2024,0.51,0.0001,-43.12
920,ANTIGUA,2024,0.84,0.0001,62.0
921,ARGENTINA,2024,2496.06,0.368,-36.47
922,ARMENIA,2024,36.09,0.0053,-50.49
923,ARUBA,2024,1.17,0.0002,52.79
924,AUSTRALIA,2024,16159.2,2.3826,-15.0
925,AUSTRIA,2024,922.23,0.136,10.1
926,AZERBAIJAN,2024,0.74,0.0001,-99.85
927,BAHAMAS,2024,20.84,0.0031,465.97
928,BAHARAIN IS,2024,829.44,0.1223,-18.24
929,BANGLADESH PR,2024,1844.76,0.272,-8.73
930,BARBADOS,2024,3.25,0.0005,152.91
931,BELARUS,2024,15.22,0.0022,-77.59
932,BELGIUM,2024,7236.82,1.067,-21.15
933,BELIZE,2024,18.57,0.0027,1653.98
934,BENIN,2024,214.57,0.0316,-52.59
935,BERMUDA,2024,0.0,,
936,BHUTAN,2024,339.11,0.05,-36.69
937,BOLIVIA,2024,1087.33,0.1603,-57.36
938,BOSNIA-HRZGOVIN,2024,5.19,0.0008,106.38
939,BOTSWANA,2024,326.75,0.0482,-28.96
940,BR VIRGN IS,2024,141.87,0.0209,1244.31
941,BRAZIL,2024,6208.49,0.9154,-6.95
942,BRUNEI,2024,218.76,0.0323,-28.04
943,BULGARIA,2024,192.31,0.0284,-55.61
944,BURKINA FASO,2024,203.05,0.0299,74.54
945,BURUNDI,2024,0.0,,
946,C AFRI REP,2024,0.24,0.0,-91.14
947,CAMBODIA,2024,218.4,0.0322,49.57
948,CAMEROON,2024,788.11,0.1162,43.19
949,CANADA,2024,4553.24,0.6714,9.25
950,CAPE VERDE IS,2024,4.64,0.0007,4.62
951,CAYMAN IS,2024,0.0,0.0,-55.02
952,CHAD,2024,3.64,0.0005,-40.72
953,CHILE,2024,1514.1,0.2232,5.45
954,CHINA P RP,2024,101735.76,15.0005,3.28
955,COLOMBIA,2024,3069.51,0.4526,16.53
956,COMOROS,2024,18.65,0.0027,15.76
957,CONGO D. REP.,2024,209.44,0.0309,-2.19
958,CONGO P REP,2024,122.39,0.018,-93.96
959,COSTA RICA,2024,117.85,0.0174,93.89
960,COTE D' IVOIRE,2024,384.94,0.0568,-42.13
961,CROATIA,2024,58.06,0.0086,-50.6
962,CUBA,2024,2.19,0.0003,-54.98
963,CYPRUS,2024,41.25,0.0061,-64.49
964,CZECH REPUBLIC,2024,735.87,0.1085,-5.43
965,DENMARK,2024,917.58,0.1353,19.11
966,DJIBOUTI,2024,22.26,0.0033,-60.17
967,DOMINIC REP,2024,570.47,0.0841,58.33
968,DOMINICA,2024,0.5,0.0001,-16.82
969,ECUADOR,2024,797.03,0.1175,-21.58
970,EGYPT A RP,2024,1157.44,0.1707,-40.69
971,EL SALVADOR,2024,2.6,0.0004,12.57
972,EQUTL GUINEA,2024,320.31,0.0472,-55.01
973,ERITREA,2024,0.0,,
974,ESTONIA,2024,138.01,0.0203,-1.38
975,ETHIOPIA,2024,81.93,0.0121,43.59
976,FAROE IS.,2024,0.0,,
977,FIJI IS,2024,1.19,0.0002,1082.8
978,FINLAND,2024,913.48,0.1347,-38.76
979,FR GUIANA,2024,0.63,0.0001,-63.73
980,FR POLYNESIA,2024,0.26,0.0,-49.45
981,FRANCE,2024,7971.16,1.1753,28.55
982,GABON,2024,317.86,0.0469,-20.23
983,GAMBIA,2024,41.41,0.0061,-19.04
984,GEORGIA,2024,100.98,0.0149,-39.55
985,GERMANY,2024,16644.27,2.4541,0.26
986,GHANA,2024,1416.9,0.2089,-25.8
987,GIBRALTAR,2024,0.3,0.0,-99.58
988,GREECE,2024,884.4,0.1304,-23.62
989,GREENLAND,2024,0.0,,
990,GRENADA,2024,1.91,0.0003,32.16
991,GUADELOUPE,2024,0.01,0.0,-96.86
992,GUAM,2024,0.01,0.0,-92.3
993,GUATEMALA,2024,30.27,0.0045,46.24
994,GUERNSEY,2024,0.02,0.0,260.38
995,GUINEA,2024,1384.92,0.2042,-33.51
996,GUINEA BISSAU,2024,75.19,0.0111,-55.75
997,GUYANA,2024,6.61,0.001,56.69
998,HAITI,2024,15.26,0.0023,26.54
999,HONDURAS,2024,30.61,0.0045,98.47
1000,HONG KONG,2024,20448.41,3.015,11.89
1001,HUNGARY,2024,306.81,0.0452,-0.12
1002,ICELAND,2024,5.98,0.0009,20.74
1003,INDONESIA,2024,23410.61,3.4518,-18.77
1004,IRAN,2024,625.14,0.0922,-6.99
1005,IRAQ,2024,29961.36,4.4177,-12.87
1006,IRELAND,2024,5681.45,0.8377,56.49
1007,ISRAEL,2024,2007.18,0.296,-13.6
1008,ITALY,2024,5796.48,0.8547,3.66
1009,JAMAICA,2024,7.48,0.0011,49.91
1010,JAPAN,2024,17695.52,2.6091,7.28
1011,JORDAN,2024,1410.63,0.208,-38.41
1012,KAZAKHSTAN,2024,95.14,0.014,-53.62
1013,KENYA,2024,176.34,0.026,51.13
1014,KOREA DP RP,2024,1.41,0.0002,-43.19
1015,KOREA RP,2024,21135.38,3.1163,-0.43
1016,KUWAIT,2024,8362.82,1.2331,-31.72
1017,KYRGHYZSTAN,2024,9.34,0.0014,122.97
1018,LAO PD RP,2024,99.73,0.0147,34.24
1019,LATVIA,2024,183.69,0.0271,-26.56
1020,LEBANON,2024,112.9,0.0166,22.07
1021,LESOTHO,2024,0.07,0.0,3227.1
1022,LIBERIA,2024,12.46,0.0018,-53.5
1023,LIBYA,2024,238.55,0.0352,-67.32
1024,LIECHTENSTEIN,2024,8.52,0.0013,333.4
1025,LITHUANIA,2024,136.39,0.0201,19.39
1026,LUXEMBOURG,2024,265.05,0.0391,162.91
1027,MACAO,2024,7.55,0.0011,-43.66
1028,MACEDONIA,2024,0.73,0.0001,-46.73
1029,MADAGASCAR,2024,191.53,0.0282,47.91
1030,MALAWI,2024,58.49,0.0086,36.81
1031,MALAYSIA,2024,12754.01,1.8805,0.15
1032,MALDIVES,2024,86.64,0.0128,-82.55
1033,MALI,2024,29.35,0.0043,46.6
1034,MALTA,2024,35.67,0.0053,-30.52
1035,MARSHALL ISLAND,2024,0.36,0.0001,-58.44
1036,MARTINIQUE,2024,0.6,0.0001,-50.68
1037,MAURITANIA,2024,19.16,0.0028,-91.73
1038,MAURITIUS,2024,73.1,0.0108,-20.11
1039,MAYOTTE,2024,1.58,0.0002,115.7
1040,MEXICO,2024,3104.23,0.4577,-19.74
1041,MICRONESIA,2024,0.0,0.0,
1042,MOLDOVA,2024,4.24,0.0006,8.04
1043,MONACO,2024,0.64,0.0001,-36.2
1044,MONGOLIA,2024,1.02,0.0002,9.15
1045,MONTENEGRO,2024,1.74,0.0003,1714.87
1046,MONTSERRAT,2024,0.0,,
1047,MOROCCO,2024,1404.28,0.2071,-44.92
1048,MOZAMBIQUE,2024,2419.11,0.3567,-4.08
1049,MYANMAR,2024,1075.65,0.1586,12.66
1050,N. MARIANA IS.,2024,0.0,0.0,-99.74
1051,NAMIBIA,2024,360.37,0.0531,859.95
1052,NAURU RP,2024,0.0,0.0,-89.56
1053,NEPAL,2024,831.11,0.1225,-1.24
1054,NETHERLAND,2024,4966.49,0.7323,-16.69
1055,NETHERLANDANTIL,2024,19.63,0.0029,8.72
1056,NEW CALEDONIA,2024,24.99,0.0037,247.69
1057,NEW ZEALAND,2024,335.07,0.0494,-29.86
1058,NICARAGUA,2024,47.99,0.0071,350.88
1059,NIGER,2024,139.27,0.0205,16.55
1060,NIGERIA,2024,4229.8,0.6237,-36.8
1061,NIUE IS,2024,0.0,,
1062,NORFOLK IS,2024,0.13,0.0,-36.46
1063,NORWAY,2024,793.85,0.117,-15.37
1064,OMAN,2024,4520.84,0.6666,-42.86
1065,PAKISTAN IR,2024,2.88,0.0004,-85.69
1066,PALAU,2024,2.08,0.0003,
