,Country,Year,Value(Imports),Share,Growth
122,MALAWI,2020,31.76,0.0067,39.29
123,MALAYSIA,2020,9782.28,2.0607,-9.58
124,MALDIVES,2020,6.0,0.0013,-70.61
125,MALI,2020,38.07,0.008,107.97
126,MALTA,2020,121.9,0.0257,178.55
127,MARSHALL ISLAND,2020,3.61,0.0008,603.73
128,MARTINIQUE,2020,0.29,0.0001,-64.23
129,MAURITANIA,2020,10.7,0.0023,-32.16
130,MAURITIUS,2020,27.89,0.0059,-61.04
131,MAYOTTE,2020,0.36,0.0001,91.23
132,MEXICO,2020,4296.8,0.9051,-22.96
133,MOLDOVA,2020,0.25,0.0001,-34.75
134,MONACO,2020,61.5,0.013,22392.75
135,MONGOLIA,2020,1.3,0.0003,28.29
136,MONTENEGRO,2020,0.16,0.0,24.94
137,MONTSERRAT,2020,0.0,,
138,MOROCCO,2020,952.54,0.2007,-28.2
139,MOZAMBIQUE,2020,835.07,0.1759,-23.91
140,MYANMAR,2020,547.25,0.1153,4.94
141,N. MARIANA IS.,2020,0.0,0.0,-98.1
142,NAMIBIA,2020,28.54,0.006,-46.69
143,NAURU RP,2020,0.07,0.0,-57.77
144,NEPAL,2020,711.61,0.1499,40.04
145,NETHERLAND,2020,3390.97,0.7143,-16.54
146,NETHERLANDANTIL,2020,22.76,0.0048,136.08
147,NEW CALEDONIA,2020,0.23,0.0,8.27
148,NEW ZEALAND,2020,521.83,0.1099,-17.27
149,NICARAGUA,2020,3.6,0.0008,-0.24
150,NIGER,2020,0.9,0.0002,38.73
151,NIGERIA,2020,10213.61,2.1515,-6.17
152,NORFOLK IS,2020,0.45,0.0001,208.13
153,NORWAY,2020,630.79,0.1329,72.12
154,OMAN,2020,3669.33,0.773,33.0
155,PAKISTAN IR,2020,13.97,0.0029,-97.18
156,PALAU,2020,0.0,0.0,-99.89
157,PANAMA REPUBLIC,2020,75.83,0.016,95.05
158,PAPUA N GNA,2020,55.7,0.0117,-37.39
159,PARAGUAY,2020,25.28,0.0053,20.52
160,PERU,2020,1575.09,0.3318,-34.52
