Country,HSCode,Year,Value(Imports),Growth
AFGHANISTAN,HSCode_84,2019,8.59,-15.13
ALBANIA,HSCode_84,2019,1.37,-31.07
ALGERIA,HSCode_84,2019,60.11,-19.42
AMERI SAMOA,HSCode_84,2019,0.0,
ANGOLA,HSCode_84,2019,18.88,6.59
ANGUILLA,HSCode_84,2019,0.0,264.9
ANTIGUA,HSCode_84,2019,0.46,36232.31
ARGENTINA,HSCode_84,2019,36.02,-12.9
ARMENIA,HSCode_84,2019,2.27,166.59
ARUBA,HSCode_84,2019,0.06,-87.65
AUSTRALIA,HSCode_84,2019,153.07,-3.92
AUSTRIA,HSCode_84,2019,58.2,15.53
AZERBAIJAN,HSCode_84,2019,10.03,-16.34
BAHAMAS,HSCode_84,2019,0.39,62.03
BAHARAIN IS,HSCode_84,2019,44.2,-41.18
BANGLADESH PR,HSCode_84,2019,730.07,-3.01
BARBADOS,HSCode_84,2019,1.93,191.81
BELARUS,HSCode_84,2019,3.17,72.69
BELGIUM,HSCode_84,2019,239.65,-47.72
BELIZE,HSCode_84,2019,0.28,-74.83
BENIN,HSCode_84,2019,4.62,-46.45
BERMUDA,HSCode_84,2019,0.0,646.3
BHUTAN,HSCode_84,2019,56.79,-7.2
BOLIVIA,HSCode_84,2019,4.93,-51.94
BOSNIA-HRZGOVIN,HSCode_84,2019,4.25,-39.72
BOTSWANA,HSCode_84,2019,3.96,-7.37
BR VIRGN IS,HSCode_84,2019,0.09,1042.79
BRAZIL,HSCode_84,2019,324.0,19.26
BRUNEI,HSCode_84,2019,6.96,-0.87
BULGARIA,HSCode_84,2019,4.62,-15.34
BURKINA FASO,HSCode_84,2019,12.36,-28.4
BURUNDI,HSCode_84,2019,3.32,39.34
C AFRI REP,HSCode_84,2019,0.83,35.29
CAMBODIA,HSCode_84,2019,7.21,-65.63
CAMEROON,HSCode_84,2019,12.68,70.52
CANADA,HSCode_84,2019,198.85,-14.32
CAPE VERDE IS,HSCode_84,2019,0.11,-51.42
CAYMAN IS,HSCode_84,2019,0.09,41.68
CHAD,HSCode_84,2019,4.36,136.16
CHILE,HSCode_84,2019,21.25,-23.5
CHINA P RP,HSCode_84,2019,804.33,-3.2
COLOMBIA,HSCode_84,2019,68.08,22.8
COMOROS,HSCode_84,2019,0.68,-48.79
CONGO D. REP.,HSCode_84,2019,23.2,-14.57
CONGO P REP,HSCode_84,2019,6.13,-39.73
COOK IS,HSCode_84,2019,0.0,-97.36
COSTA RICA,HSCode_84,2019,3.96,30.18
COTE D' IVOIRE,HSCode_84,2019,42.4,40.47
CROATIA,HSCode_84,2019,5.27,-54.12
CUBA,HSCode_84,2019,4.45,19.36
CYPRUS,HSCode_84,2019,2.53,4.35
CZECH REPUBLIC,HSCode_84,2019,57.03,-0.39
DENMARK,HSCode_84,2019,54.02,-10.84
DJIBOUTI,HSCode_84,2019,6.05,-1.73
DOMINIC REP,HSCode_84,2019,9.72,78.84
DOMINICA,HSCode_84,2019,0.15,148.47
ECUADOR,HSCode_84,2019,10.73,28.02
EGYPT A RP,HSCode_84,2019,161.23,-12.46
EL SALVADOR,HSCode_84,2019,4.1,108.88
EQUTL GUINEA,HSCode_84,2019,1.03,472.83
ERITREA,HSCode_84,2019,0.14,20.36
ESTONIA,HSCode_84,2019,5.05,1.33
ETHIOPIA,HSCode_84,2019,56.84,-21.12
FIJI IS,HSCode_84,2019,7.7,8.59
FINLAND,HSCode_84,2019,27.21,33.47
FR GUIANA,HSCode_84,2019,0.01,-16.55
FR POLYNESIA,HSCode_84,2019,0.33,-53.61
FRANCE,HSCode_84,2019,515.47,16.19
GABON,HSCode_84,2019,8.82,61.62
GAMBIA,HSCode_84,2019,2.78,7.96
GEORGIA,HSCode_84,2019,5.86,5.08
GERMANY,HSCode_84,2019,1375.78,-3.85
GHANA,HSCode_84,2019,89.5,5.77
GIBRALTAR,HSCode_84,2019,0.02,-46.91
GREECE,HSCode_84,2019,8.76,-4.94
GREENLAND,HSCode_84,2019,0.0,
GRENADA,HSCode_84,2019,0.25,360.3
GUADELOUPE,HSCode_84,2019,0.07,68.46
GUAM,HSCode_84,2019,0.11,347.98
GUATEMALA,HSCode_84,2019,13.18,-16.98
GUINEA,HSCode_84,2019,13.88,-42.26
GUINEA BISSAU,HSCode_84,2019,0.04,-8.24
