,HSCode,Year,Commodity,Vol (Imports),Gowth
53,56,2019,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",105.42,-10.53
54,57,2019,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,35.07,-6.73
55,58,2019,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,84.25,0.45
56,59,2019,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",455.39,-14.12
57,60,2019,KNITTED OR CROCHETED FABRICS.,389.34,-6.0
58,61,2019,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",201.47,1.8
59,62,2019,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",128.06,23.5
60,63,2019,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,172.3,-3.96
61,64,2019,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",371.12,-9.54
62,65,2019,HEADGEAR AND PARTS THEREOF.,20.22,18.25
63,66,2019,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",31.85,-10.84
64,67,2019,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,25.97,17.26
65,68,2019,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",470.66,-12.71
66,69,2019,CERAMIC PRODUCTS.,345.3,1.33
67,70,2019,GLASS AND GLASSWARE.,604.51,-2.22
68,71,2019,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",139.48,-67.47
69,72,2019,IRON AND STEEL,1121.34,-21.16
70,73,2019,ARTICLES OF IRON OR STEEL,1588.77,-8.45
71,74,2019,COPPER AND ARTICLES THEREOF.,178.37,-23.24
72,75,2019,NICKEL AND ARTICLES THEREOF.,78.71,91.15
73,76,2019,ALUMINIUM AND ARTICLES THEREOF.,957.33,-18.5
74,78,2019,LEAD AND ARTICLES THEREOF.,6.24,310.74
75,79,2019,ZINC AND ARTICLES THEREOF.,8.21,-48.37
76,80,2019,TIN AND ARTICLES THEREOF.,4.11,-29.29
77,81,2019,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,219.15,-10.52
78,82,2019,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",325.01,0.02
79,83,2019,MISCELLANEOUS ARTICLES OF BASE METAL.,402.52,-0.08
80,84,2019,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",13322.17,-0.46
81,85,2019,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",19104.17,-7.39
82,86,2019,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",204.67,13.34
83,87,2019,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",1273.89,-16.25
84,88,2019,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",12.05,54.93
