Country,HSCode,Year,Value(Imports),Growth
AFGHANISTAN,HSCode_90,2018,7.26,48.24
ALBANIA,HSCode_90,2018,0.53,1.43
ALGERIA,HSCode_90,2018,11.2,38.65
AMERI SAMOA,HSCode_90,2018,0.0,-79.28
ANDORRA,HSCode_90,2018,,
ANGOLA,HSCode_90,2018,3.11,52.29
ANGUILLA,HSCode_90,2018,0.01,-98.43
ANTIGUA,HSCode_90,2018,0.0,-89.07
ARGENTINA,HSCode_90,2018,10.11,4.55
ARMENIA,HSCode_90,2018,0.34,27.63
ARUBA,HSCode_90,2018,1.19,114.04
AUSTRALIA,HSCode_90,2018,36.33,27.08
AUSTRIA,HSCode_90,2018,13.23,41.31
AZERBAIJAN,HSCode_90,2018,0.43,-77.46
BAHAMAS,HSCode_90,2018,0.01,-2.52
BAHARAIN IS,HSCode_90,2018,4.7,86.11
BANGLADESH PR,HSCode_90,2018,62.83,10.48
BARBADOS,HSCode_90,2018,0.1,35.89
BELARUS,HSCode_90,2018,0.61,-16.33
BELGIUM,HSCode_90,2018,20.96,-12.71
BELIZE,HSCode_90,2018,0.11,-89.89
BENIN,HSCode_90,2018,1.37,146.05
BERMUDA,HSCode_90,2018,0.01,109.19
BHUTAN,HSCode_90,2018,5.94,66.0
BOLIVIA,HSCode_90,2018,3.03,95.44
BOSNIA-HRZGOVIN,HSCode_90,2018,0.34,-68.34
BOTSWANA,HSCode_90,2018,0.88,-32.15
BR VIRGN IS,HSCode_90,2018,0.01,2725.33
BRAZIL,HSCode_90,2018,55.54,-10.6
BRUNEI,HSCode_90,2018,0.11,-89.09
BULGARIA,HSCode_90,2018,3.26,-13.13
BURKINA FASO,HSCode_90,2018,1.79,15.13
BURUNDI,HSCode_90,2018,1.29,304.98
C AFRI REP,HSCode_90,2018,0.11,316.83
CAMBODIA,HSCode_90,2018,1.41,51.0
CAMEROON,HSCode_90,2018,1.94,68.3
CANADA,HSCode_90,2018,22.52,50.06
CAPE VERDE IS,HSCode_90,2018,0.0,-83.92
CAYMAN IS,HSCode_90,2018,1.11,14.88
CHAD,HSCode_90,2018,0.6,120.83
CHILE,HSCode_90,2018,8.67,112.03
CHINA P RP,HSCode_90,2018,150.34,-3.15
COLOMBIA,HSCode_90,2018,9.83,21.45
COMOROS,HSCode_90,2018,0.01,-94.7
CONGO D. REP.,HSCode_90,2018,2.93,71.4
CONGO P REP,HSCode_90,2018,0.87,-71.35
COOK IS,HSCode_90,2018,0.0,
COSTA RICA,HSCode_90,2018,3.75,82.48
COTE D' IVOIRE,HSCode_90,2018,2.37,-48.51
CROATIA,HSCode_90,2018,2.84,134.82
CUBA,HSCode_90,2018,1.07,-32.77
CYPRUS,HSCode_90,2018,1.0,19.02
CZECH REPUBLIC,HSCode_90,2018,11.72,169.22
DENMARK,HSCode_90,2018,12.58,-41.06
DJIBOUTI,HSCode_90,2018,0.93,20.88
DOMINIC REP,HSCode_90,2018,3.14,-24.84
DOMINICA,HSCode_90,2018,0.09,3810.35
ECUADOR,HSCode_90,2018,8.29,35.77
EGYPT A RP,HSCode_90,2018,23.32,21.97
EL SALVADOR,HSCode_90,2018,0.74,-22.06
EQUTL GUINEA,HSCode_90,2018,0.02,-59.17
ERITREA,HSCode_90,2018,0.31,65.28
ESTONIA,HSCode_90,2018,1.13,16.05
ETHIOPIA,HSCode_90,2018,13.75,4.13
FAROE IS.,HSCode_90,2018,0.0,
FIJI IS,HSCode_90,2018,0.79,-43.34
FINLAND,HSCode_90,2018,5.89,-40.91
FR GUIANA,HSCode_90,2018,0.0,142.41
FR POLYNESIA,HSCode_90,2018,0.01,991.04
FRANCE,HSCode_90,2018,238.69,51.19
GABON,HSCode_90,2018,1.17,488.32
GAMBIA,HSCode_90,2018,0.34,37.63
GEORGIA,HSCode_90,2018,2.25,24.46
GERMANY,HSCode_90,2018,212.63,6.04
GHANA,HSCode_90,2018,8.44,-22.45
GIBRALTAR,HSCode_90,2018,0.0,
GREECE,HSCode_90,2018,5.4,-25.97
GRENADA,HSCode_90,2018,0.03,129.72
GUADELOUPE,HSCode_90,2018,0.03,62.01
GUAM,HSCode_90,2018,0.01,-34.23
