Country,HSCode,Year,Value(Imports),Growth
GUATEMALA,HSCode_90,2018,2.9,5.32
GUINEA,HSCode_90,2018,1.49,51.49
GUINEA BISSAU,HSCode_90,2018,0.01,-98.46
GUYANA,HSCode_90,2018,0.61,50.96
HAITI,HSCode_90,2018,0.11,-52.31
HONDURAS,HSCode_90,2018,1.59,67.81
HONG KONG,HSCode_90,2018,33.23,10.59
HUNGARY,HSCode_90,2018,5.62,21.09
ICELAND,HSCode_90,2018,0.36,47.07
INDONESIA,HSCode_90,2018,33.95,39.19
IRAN,HSCode_90,2018,21.47,7.56
IRAQ,HSCode_90,2018,10.17,78.08
IRELAND,HSCode_90,2018,12.23,-7.8
ISRAEL,HSCode_90,2018,38.97,-14.7
ITALY,HSCode_90,2018,47.13,-1.63
JAMAICA,HSCode_90,2018,0.65,6.83
JAPAN,HSCode_90,2018,74.46,51.28
JORDAN,HSCode_90,2018,2.76,-49.08
KAZAKHSTAN,HSCode_90,2018,3.8,14.82
KENYA,HSCode_90,2018,21.23,11.62
KIRIBATI REP,HSCode_90,2018,0.0,-73.93
KOREA DP RP,HSCode_90,2018,0.12,-83.99
KOREA RP,HSCode_90,2018,42.77,-10.58
KUWAIT,HSCode_90,2018,11.2,-32.71
KYRGHYZSTAN,HSCode_90,2018,0.54,-59.38
LAO PD RP,HSCode_90,2018,0.22,-26.26
LATVIA,HSCode_90,2018,1.02,48.26
LEBANON,HSCode_90,2018,2.58,-3.78
LESOTHO,HSCode_90,2018,0.03,-68.29
LIBERIA,HSCode_90,2018,0.81,173.67
LIBYA,HSCode_90,2018,3.41,337.98
LIECHTENSTEIN,HSCode_90,2018,0.0,
LITHUANIA,HSCode_90,2018,2.29,33.09
LUXEMBOURG,HSCode_90,2018,2.86,197.64
MACAO,HSCode_90,2018,0.01,35.1
MACEDONIA,HSCode_90,2018,0.32,-12.34
MADAGASCAR,HSCode_90,2018,1.71,183.91
MALAWI,HSCode_90,2018,1.68,-30.46
MALAYSIA,HSCode_90,2018,52.01,8.36
MALDIVES,HSCode_90,2018,8.16,22.84
MALI,HSCode_90,2018,1.19,75.01
MALTA,HSCode_90,2018,0.69,474.66
MARSHALL ISLAND,HSCode_90,2018,0.0,20.9
MARTINIQUE,HSCode_90,2018,0.01,-60.44
MAURITANIA,HSCode_90,2018,0.42,13.2
MAURITIUS,HSCode_90,2018,2.77,-8.03
MAYOTTE,HSCode_90,2018,0.0,
MEXICO,HSCode_90,2018,18.71,1.95
MICRONESIA,HSCode_90,2018,0.02,304.23
MOLDOVA,HSCode_90,2018,0.32,-5.57
MONACO,HSCode_90,2018,0.0,-56.05
MONGOLIA,HSCode_90,2018,0.3,17.12
MONTENEGRO,HSCode_90,2018,0.05,18.55
MOROCCO,HSCode_90,2018,6.76,-35.4
MOZAMBIQUE,HSCode_90,2018,4.37,23.38
MYANMAR,HSCode_90,2018,7.16,-23.36
NAMIBIA,HSCode_90,2018,0.62,-7.74
NAURU RP,HSCode_90,2018,0.01,-82.61
NEPAL,HSCode_90,2018,39.76,25.03
NETHERLAND,HSCode_90,2018,53.06,3.39
NETHERLANDANTIL,HSCode_90,2018,0.02,-82.07
NEW CALEDONIA,HSCode_90,2018,0.0,-59.89
NEW ZEALAND,HSCode_90,2018,1.79,45.72
NICARAGUA,HSCode_90,2018,2.4,-26.82
NIGER,HSCode_90,2018,0.88,4.97
NIGERIA,HSCode_90,2018,36.86,72.02
NORWAY,HSCode_90,2018,3.53,-25.54
OMAN,HSCode_90,2018,18.05,7.57
PAKISTAN IR,HSCode_90,2018,4.66,-11.31
PALAU,HSCode_90,2018,0.0,
PANAMA REPUBLIC,HSCode_90,2018,2.04,-24.29
PAPUA N GNA,HSCode_90,2018,2.14,-7.84
PARAGUAY,HSCode_90,2018,1.8,22.09
PERU,HSCode_90,2018,6.49,-2.05
PHILIPPINES,HSCode_90,2018,21.88,39.08
POLAND,HSCode_90,2018,25.05,-45.32
PORTUGAL,HSCode_90,2018,7.29,17.85
PUERTO RICO,HSCode_90,2018,2.77,34.65
QATAR,HSCode_90,2018,11.68,93.43
REUNION,HSCode_90,2018,0.04,32.38
ROMANIA,HSCode_90,2018,4.1,4.07
RUSSIA,HSCode_90,2018,48.33,135.6
RWANDA,HSCode_90,2018,3.27,125.28
SAHARWI A.DM RP,HSCode_90,2018,,
SAMOA,HSCode_90,2018,0.07,275.73
SAN MARINO,HSCode_90,2018,0.0,
SAO TOME,HSCode_90,2018,0.0,105.52
SAUDI ARAB,HSCode_90,2018,41.22,47.97
SENEGAL,HSCode_90,2018,2.04,-0.32
SERBIA,HSCode_90,2018,1.27,-16.95
SEYCHELLES,HSCode_90,2018,0.7,-18.17
SIERRA LEONE,HSCode_90,2018,0.44,19.81
SINGAPORE,HSCode_90,2018,219.07,30.9
SLOVAK REP,HSCode_90,2018,3.63,-10.94
SLOVENIA,HSCode_90,2018,0.91,49.55
SOLOMON IS,HSCode_90,2018,0.11,74.71
SOMALIA,HSCode_90,2018,1.31,45.47
SOUTH AFRICA,HSCode_90,2018,34.56,2.43
SOUTH SUDAN,HSCode_90,2018,0.08,2003.73
SPAIN,HSCode_90,2018,19.99,-17.61
SRI LANKA DSR,HSCode_90,2018,29.04,15.55
ST KITT N A,HSCode_90,2018,0.0,-74.15
ST LUCIA,HSCode_90,2018,0.07,-38.43
ST PIERRE,HSCode_90,2018,0.0,
ST VINCENT,HSCode_90,2018,0.0,-62.33
STATE OF PALEST,HSCode_90,2018,0.02,
SUDAN,HSCode_90,2018,7.89,5.24
SURINAME,HSCode_90,2018,0.1,-0.82
SWAZILAND,HSCode_90,2018,0.09,-38.44
SWEDEN,HSCode_90,2018,16.17,-14.08
SWITZERLAND,HSCode_90,2018,23.19,-0.78
SYRIA,HSCode_90,2018,2.05,-37.4
TAIWAN,HSCode_90,2018,8.42,-40.33
TAJIKISTAN,HSCode_90,2018,0.58,81.03
TANZANIA REP,HSCode_90,2018,13.19,25.91
THAILAND,HSCode_90,2018,31.82,12.19
TIMOR LESTE,HSCode_90,2018,0.21,-38.93
TOGO,HSCode_90,2018,0.42,-21.62
TONGA,HSCode_90,2018,0.01,31.3
TRINIDAD,HSCode_90,2018,0.37,-42.73
TUNISIA,HSCode_90,2018,2.53,-8.71
TURKEY,HSCode_90,2018,37.52,-14.62
TURKMENISTAN,HSCode_90,2018,0.54,-16.05
TURKS C IS,HSCode_90,2018,0.0,-99.8
U ARAB EMTS,HSCode_90,2018,113.01,17.82
U K,HSCode_90,2018,223.63,-36.63
U S A,HSCode_90,2018,563.43,21.97
UGANDA,HSCode_90,2018,6.62,8.43
UKRAINE,HSCode_90,2018,5.59,32.92
UNSPECIFIED,HSCode_90,2018,2.84,6637.46
URUGUAY,HSCode_90,2018,1.69,167.44
UZBEKISTAN,HSCode_90,2018,3.72,85.16
VANUATU REP,HSCode_90,2018,0.08,438.71
VENEZUELA,HSCode_90,2018,0.29,-66.0
VIETNAM SOC REP,HSCode_90,2018,28.32,56.66
YEMEN REPUBLC,HSCode_90,2018,5.74,12.27
ZAMBIA,HSCode_90,2018,3.7,3.9
ZIMBABWE,HSCode_90,2018,2.42,44.13
AFGHANISTAN,HSCode_90,2020,8.66,2.59
ALBANIA,HSCode_90,2020,0.69,-2.89
ALGERIA,HSCode_90,2020,12.75,35.52
AMERI SAMOA,HSCode_90,2020,,
ANDORRA,HSCode_90,2020,0.01,
ANGOLA,HSCode_90,2020,2.74,68.05
ANGUILLA,HSCode_90,2020,0.02,
ANTARTICA,HSCode_90,2020,1.05,
ANTIGUA,HSCode_90,2020,0.0,-10.86
ARGENTINA,HSCode_90,2020,10.5,-19.91
ARMENIA,HSCode_90,2020,0.6,46.37
ARUBA,HSCode_90,2020,0.35,-26.68
AUSTRALIA,HSCode_90,2020,40.33,16.93
AUSTRIA,HSCode_90,2020,12.58,-5.1
AZERBAIJAN,HSCode_90,2020,2.2,-61.83
BAHAMAS,HSCode_90,2020,0.19,-71.2
BAHARAIN IS,HSCode_90,2020,4.02,80.34
BANGLADESH PR,HSCode_90,2020,45.89,-17.47
BARBADOS,HSCode_90,2020,0.04,-36.43
BELARUS,HSCode_90,2020,1.11,123.95
BELGIUM,HSCode_90,2020,30.32,8.17
BELIZE,HSCode_90,2020,0.14,464.59
BENIN,HSCode_90,2020,2.87,108.9
BERMUDA,HSCode_90,2020,0.0,9.26
BHUTAN,HSCode_90,2020,5.99,-8.2
BOLIVIA,HSCode_90,2020,1.56,-8.84
BOSNIA-HRZGOVIN,HSCode_90,2020,0.48,17.42
BOTSWANA,HSCode_90,2020,0.92,-3.16
BR VIRGN IS,HSCode_90,2020,0.0,2603.55
BRAZIL,HSCode_90,2020,57.71,0.44
BRUNEI,HSCode_90,2020,0.39,91.02
BULGARIA,HSCode_90,2020,3.63,-28.78
BURKINA FASO,HSCode_90,2020,3.12,-18.8
BURUNDI,HSCode_90,2020,1.04,15.79
C AFRI REP,HSCode_90,2020,0.21,12.24
CAMBODIA,HSCode_90,2020,1.91,26.73
CAMEROON,HSCode_90,2020,2.71,20.7
CANADA,HSCode_90,2020,35.42,42.34
CAPE VERDE IS,HSCode_90,2020,0.33,158.31
CAYMAN IS,HSCode_90,2020,0.7,-39.08
CHAD,HSCode_90,2020,0.43,71.13
CHILE,HSCode_90,2020,7.89,55.25
CHINA P RP,HSCode_90,2020,194.43,16.57
COLOMBIA,HSCode_90,2020,7.86,-23.59
COMOROS,HSCode_90,2020,0.02,129.15
CONGO D. REP.,HSCode_90,2020,4.9,1.92
CONGO P REP,HSCode_90,2020,3.66,85.16
COOK IS,HSCode_90,2020,0.0,
COSTA RICA,HSCode_90,2020,11.27,79.38
COTE D' IVOIRE,HSCode_90,2020,3.98,35.15
CROATIA,HSCode_90,2020,1.05,-15.98
CUBA,HSCode_90,2020,0.72,-39.69
CYPRUS,HSCode_90,2020,1.7,112.2
CZECH REPUBLIC,HSCode_90,2020,7.72,8.42
DENMARK,HSCode_90,2020,17.91,45.05
DJIBOUTI,HSCode_90,2020,4.19,483.33
DOMINIC REP,HSCode_90,2020,3.46,17.93
DOMINICA,HSCode_90,2020,0.06,-49.36
ECUADOR,HSCode_90,2020,4.5,-46.31
EGYPT A RP,HSCode_90,2020,19.79,1.45
EL SALVADOR,HSCode_90,2020,1.41,-17.24
EQUTL GUINEA,HSCode_90,2020,0.11,152.63
ERITREA,HSCode_90,2020,0.66,461.28
ESTONIA,HSCode_90,2020,1.72,79.4
ETHIOPIA,HSCode_90,2020,10.05,-16.16
FAROE IS.,HSCode_90,2020,0.06,23840.42
FIJI IS,HSCode_90,2020,1.21,83.27
FINLAND,HSCode_90,2020,9.54,42.06
FR GUIANA,HSCode_90,2020,0.0,-69.78
FR POLYNESIA,HSCode_90,2020,0.0,59.45
FRANCE,HSCode_90,2020,195.35,-8.52
GABON,HSCode_90,2020,0.99,276.46
GAMBIA,HSCode_90,2020,0.61,160.99
GEORGIA,HSCode_90,2020,3.01,-8.44
GERMANY,HSCode_90,2020,228.28,1.14
GHANA,HSCode_90,2020,11.07,28.97
GIBRALTAR,HSCode_90,2020,,
GREECE,HSCode_90,2020,5.66,24.3
GRENADA,HSCode_90,2020,0.03,42.8
GUADELOUPE,HSCode_90,2020,0.0,-95.46
GUAM,HSCode_90,2020,0.0,401.09
GUATEMALA,HSCode_90,2020,2.55,-19.97
GUINEA,HSCode_90,2020,0.85,-50.19
GUINEA BISSAU,HSCode_90,2020,0.02,12.31
GUYANA,HSCode_90,2020,0.69,54.96
HAITI,HSCode_90,2020,0.29,-28.48
HONDURAS,HSCode_90,2020,1.04,-28.74
HONG KONG,HSCode_90,2020,31.76,10.87
HUNGARY,HSCode_90,2020,7.12,20.34
ICELAND,HSCode_90,2020,0.09,7.9
INDONESIA,HSCode_90,2020,62.11,43.21
IRAN,HSCode_90,2020,26.61,-30.46
IRAQ,HSCode_90,2020,9.86,-14.88
IRELAND,HSCode_90,2020,17.79,4.82
ISRAEL,HSCode_90,2020,38.42,9.22
ITALY,HSCode_90,2020,63.81,14.33
JAMAICA,HSCode_90,2020,2.04,20.93
JAPAN,HSCode_90,2020,66.16,-4.47
JORDAN,HSCode_90,2020,4.21,10.84
KAZAKHSTAN,HSCode_90,2020,3.63,12.08
KENYA,HSCode_90,2020,15.59,-10.1
KIRIBATI REP,HSCode_90,2020,0.02,4.61
KOREA DP RP,HSCode_90,2020,0.02,-90.36
KOREA RP,HSCode_90,2020,39.53,-11.16
KUWAIT,HSCode_90,2020,16.75,4.65
KYRGHYZSTAN,HSCode_90,2020,1.82,178.75
LAO PD RP,HSCode_90,2020,0.2,-30.8
LATVIA,HSCode_90,2020,0.7,-13.06
LEBANON,HSCode_90,2020,2.88,13.48
LESOTHO,HSCode_90,2020,0.03,-98.53
LIBERIA,HSCode_90,2020,0.91,63.68
LIBYA,HSCode_90,2020,2.25,-54.43
LIECHTENSTEIN,HSCode_90,2020,,
LITHUANIA,HSCode_90,2020,3.27,54.62
LUXEMBOURG,HSCode_90,2020,1.1,29.46
MACAO,HSCode_90,2020,0.0,-93.39
MACEDONIA,HSCode_90,2020,0.16,0.17
MADAGASCAR,HSCode_90,2020,1.07,14.65
MALAWI,HSCode_90,2020,2.6,19.56
MALAYSIA,HSCode_90,2020,51.91,1.19
MALDIVES,HSCode_90,2020,10.39,20.6
MALI,HSCode_90,2020,1.79,-33.73
MALTA,HSCode_90,2020,0.37,-81.44
MARSHALL ISLAND,HSCode_90,2020,0.07,
MARTINIQUE,HSCode_90,2020,0.0,-41.75
MAURITANIA,HSCode_90,2020,0.52,-17.43
MAURITIUS,HSCode_90,2020,4.67,89.56
MAYOTTE,HSCode_90,2020,0.0,58.89
MEXICO,HSCode_90,2020,20.87,3.53
MICRONESIA,HSCode_90,2020,0.0,-76.14
MOLDOVA,HSCode_90,2020,0.27,-32.3
MONACO,HSCode_90,2020,0.0,-60.72
MONGOLIA,HSCode_90,2020,0.45,-65.31
MONTENEGRO,HSCode_90,2020,0.07,27.55
MONTSERRAT,HSCode_90,2020,0.0,336.18
MOROCCO,HSCode_90,2020,10.52,12.13
MOZAMBIQUE,HSCode_90,2020,1.54,-33.87
MYANMAR,HSCode_90,2020,10.58,35.92
N. MARIANA IS.,HSCode_90,2020,,
NAMIBIA,HSCode_90,2020,0.71,63.94
NAURU RP,HSCode_90,2020,0.0,
NEPAL,HSCode_90,2020,41.54,-19.04
NETHERLAND,HSCode_90,2020,54.51,-10.49
NETHERLANDANTIL,HSCode_90,2020,0.01,-7.79
NEW CALEDONIA,HSCode_90,2020,0.0,-99.07
NEW ZEALAND,HSCode_90,2020,2.2,-21.08
NICARAGUA,HSCode_90,2020,3.54,2.11
NIGER,HSCode_90,2020,1.16,12.97
NIGERIA,HSCode_90,2020,51.41,-14.3
NIUE IS,HSCode_90,2020,0.0,23.32
NORWAY,HSCode_90,2020,3.52,-87.94
OMAN,HSCode_90,2020,28.97,56.27
PAKISTAN IR,HSCode_90,2020,1.28,-40.8
PALAU,HSCode_90,2020,0.0,-92.05
PANAMA REPUBLIC,HSCode_90,2020,2.99,-3.02
PAPUA N GNA,HSCode_90,2020,2.22,-18.58
PARAGUAY,HSCode_90,2020,1.29,-27.43
PERU,HSCode_90,2020,7.3,-21.41
PHILIPPINES,HSCode_90,2020,15.58,-42.81
POLAND,HSCode_90,2020,27.57,-9.6
PORTUGAL,HSCode_90,2020,4.82,11.25
PUERTO RICO,HSCode_90,2020,4.62,3.22
QATAR,HSCode_90,2020,13.57,18.96
REUNION,HSCode_90,2020,0.01,-65.51
ROMANIA,HSCode_90,2020,6.22,57.57
RUSSIA,HSCode_90,2020,67.01,67.24
RWANDA,HSCode_90,2020,1.75,-38.66
SAMOA,HSCode_90,2020,0.09,135.02
SAO TOME,HSCode_90,2020,0.09,
SAUDI ARAB,HSCode_90,2020,32.16,-28.69
SENEGAL,HSCode_90,2020,4.39,65.92
SERBIA,HSCode_90,2020,1.34,1.55
SEYCHELLES,HSCode_90,2020,0.7,30.54
SIERRA LEONE,HSCode_90,2020,0.98,-8.63
SINGAPORE,HSCode_90,2020,183.38,-18.72
SLOVAK REP,HSCode_90,2020,1.71,-43.16
SLOVENIA,HSCode_90,2020,0.31,-11.38
SOLOMON IS,HSCode_90,2020,0.07,99.0
SOMALIA,HSCode_90,2020,1.64,-20.82
SOUTH AFRICA,HSCode_90,2020,32.69,0.8
SOUTH SUDAN,HSCode_90,2020,0.16,436.52
SPAIN,HSCode_90,2020,23.03,22.24
SRI LANKA DSR,HSCode_90,2020,35.17,16.03
ST HELENA,HSCode_90,2020,0.15,-55.64
ST KITT N A,HSCode_90,2020,0.03,2503.57
ST LUCIA,HSCode_90,2020,0.07,82.96
ST VINCENT,HSCode_90,2020,0.03,181.44
STATE OF PALEST,HSCode_90,2020,0.02,-69.42
SUDAN,HSCode_90,2020,6.67,-17.06
SURINAME,HSCode_90,2020,0.2,105.42
SWAZILAND,HSCode_90,2020,0.38,37.84
SWEDEN,HSCode_90,2020,14.8,-5.79
SWITZERLAND,HSCode_90,2020,17.62,-14.49
SYRIA,HSCode_90,2020,1.04,-50.23
TAIWAN,HSCode_90,2020,8.05,-25.57
TAJIKISTAN,HSCode_90,2020,0.94,145.29
TANZANIA REP,HSCode_90,2020,9.39,-33.4
THAILAND,HSCode_90,2020,40.81,5.25
TIMOR LESTE,HSCode_90,2020,0.24,46.7
TOGO,HSCode_90,2020,0.64,-1.4
TONGA,HSCode_90,2020,0.03,14.81
TRINIDAD,HSCode_90,2020,0.99,45.58
TUNISIA,HSCode_90,2020,7.06,128.03
TURKEY,HSCode_90,2020,46.53,-12.47
TURKMENISTAN,HSCode_90,2020,1.24,106.91
TURKS C IS,HSCode_90,2020,0.01,672.89
TUVALU,HSCode_90,2020,0.0,
U ARAB EMTS,HSCode_90,2020,95.46,-8.23
U K,HSCode_90,2020,124.23,-18.26
U S A,HSCode_90,2020,578.05,-6.55
UGANDA,HSCode_90,2020,8.61,23.66
UKRAINE,HSCode_90,2020,7.08,24.41
UNSPECIFIED,HSCode_90,2020,0.13,55.24
URUGUAY,HSCode_90,2020,0.81,-24.16
US MINOR OUTLYING ISLANDS,HSCode_90,2020,0.0,
UZBEKISTAN,HSCode_90,2020,3.89,27.67
VANUATU REP,HSCode_90,2020,0.15,585.58
VENEZUELA,HSCode_90,2020,0.41,-27.1
VIETNAM SOC REP,HSCode_90,2020,21.08,2.13
VIRGIN IS US,HSCode_90,2020,0.05,
YEMEN REPUBLC,HSCode_90,2020,6.89,-13.79
ZAMBIA,HSCode_90,2020,4.9,48.19
ZIMBABWE,HSCode_90,2020,2.05,-7.76
AFGHANISTAN,HSCode_90,2021,4.52,-47.84
ALBANIA,HSCode_90,2021,0.82,19.46
ALGERIA,HSCode_90,2021,27.56,116.24
AMERI SAMOA,HSCode_90,2021,0.0,
ANDORRA,HSCode_90,2021,0.03,481.34
ANGOLA,HSCode_90,2021,4.58,67.21
ANGUILLA,HSCode_90,2021,0.0,-92.6
ANTARTICA,HSCode_90,2021,0.0,-99.98
ANTIGUA,HSCode_90,2021,0.05,956.1
ARGENTINA,HSCode_90,2021,14.49,38.01
ARMENIA,HSCode_90,2021,0.66,11.42
ARUBA,HSCode_90,2021,0.62,77.13
AUSTRALIA,HSCode_90,2021,47.45,17.65
AUSTRIA,HSCode_90,2021,16.66,32.37
AZERBAIJAN,HSCode_90,2021,2.33,5.79
BAHAMAS,HSCode_90,2021,0.21,9.84
BAHARAIN IS,HSCode_90,2021,16.69,315.54
BANGLADESH PR,HSCode_90,2021,48.14,4.91
BARBADOS,HSCode_90,2021,0.04,-7.0
BELARUS,HSCode_90,2021,1.84,65.5
BELGIUM,HSCode_90,2021,41.5,36.88
BELIZE,HSCode_90,2021,0.08,-43.04
BENIN,HSCode_90,2021,1.64,-42.81
BERMUDA,HSCode_90,2021,0.0,4516.77
BHUTAN,HSCode_90,2021,9.33,55.84
BOLIVIA,HSCode_90,2021,1.62,3.92
BOSNIA-HRZGOVIN,HSCode_90,2021,0.79,63.91
BOTSWANA,HSCode_90,2021,1.02,11.22
BR VIRGN IS,HSCode_90,2021,0.0,-97.63
BRAZIL,HSCode_90,2021,79.41,37.61
BRUNEI,HSCode_90,2021,0.28,-29.61
BULGARIA,HSCode_90,2021,6.1,67.81
BURKINA FASO,HSCode_90,2021,1.45,-53.64
BURUNDI,HSCode_90,2021,1.12,7.75
C AFRI REP,HSCode_90,2021,0.08,-62.74
CAMBODIA,HSCode_90,2021,2.56,34.01
CAMEROON,HSCode_90,2021,2.61,-3.69
CANADA,HSCode_90,2021,49.23,39.0
CAPE VERDE IS,HSCode_90,2021,0.01,-95.99
CAYMAN IS,HSCode_90,2021,1.73,146.44
CHAD,HSCode_90,2021,0.32,-24.44
CHILE,HSCode_90,2021,9.13,15.75
CHINA P RP,HSCode_90,2021,212.63,9.36
CHRISTMAS IS.,HSCode_90,2021,0.01,
COLOMBIA,HSCode_90,2021,10.8,37.43
COMOROS,HSCode_90,2021,0.02,20.21
CONGO D. REP.,HSCode_90,2021,4.58,-6.48
CONGO P REP,HSCode_90,2021,1.44,-60.67
COOK IS,HSCode_90,2021,,
COSTA RICA,HSCode_90,2021,11.93,5.82
COTE D' IVOIRE,HSCode_90,2021,3.52,-11.61
CROATIA,HSCode_90,2021,2.12,101.7
CUBA,HSCode_90,2021,0.43,-39.33
CYPRUS,HSCode_90,2021,2.89,69.99
CZECH REPUBLIC,HSCode_90,2021,14.15,83.32
DENMARK,HSCode_90,2021,22.56,25.95
DJIBOUTI,HSCode_90,2021,1.27,-69.64
DOMINIC REP,HSCode_90,2021,4.88,41.14
DOMINICA,HSCode_90,2021,0.02,-73.71
ECUADOR,HSCode_90,2021,8.65,92.49
EGYPT A RP,HSCode_90,2021,26.93,36.07
EL SALVADOR,HSCode_90,2021,1.73,22.68
EQUTL GUINEA,HSCode_90,2021,0.38,245.36
ERITREA,HSCode_90,2021,0.99,50.51
ESTONIA,HSCode_90,2021,1.76,2.11
ETHIOPIA,HSCode_90,2021,10.36,3.08
FAROE IS.,HSCode_90,2021,,
FIJI IS,HSCode_90,2021,1.35,11.53
FINLAND,HSCode_90,2021,11.53,20.94
FR GUIANA,HSCode_90,2021,,
FR POLYNESIA,HSCode_90,2021,0.0,865.15
FRANCE,HSCode_90,2021,224.3,14.82
GABON,HSCode_90,2021,0.42,-57.99
GAMBIA,HSCode_90,2021,0.4,-35.32
GEORGIA,HSCode_90,2021,7.48,148.78
GERMANY,HSCode_90,2021,260.88,14.28
GHANA,HSCode_90,2021,9.68,-12.55
GIBRALTAR,HSCode_90,2021,0.0,
GREECE,HSCode_90,2021,6.92,22.19
GRENADA,HSCode_90,2021,0.1,241.31
GUADELOUPE,HSCode_90,2021,0.01,443.14
GUAM,HSCode_90,2021,0.08,1507.77
GUATEMALA,HSCode_90,2021,3.51,37.33
GUINEA,HSCode_90,2021,1.09,28.76
GUINEA BISSAU,HSCode_90,2021,0.14,659.83
GUYANA,HSCode_90,2021,1.26,82.37
HAITI,HSCode_90,2021,0.31,8.42
HONDURAS,HSCode_90,2021,2.12,103.79
HONG KONG,HSCode_90,2021,39.26,23.61
HUNGARY,HSCode_90,2021,4.73,-33.5
ICELAND,HSCode_90,2021,0.09,5.35
INDONESIA,HSCode_90,2021,52.13,-16.08
IRAN,HSCode_90,2021,17.36,-34.79
IRAQ,HSCode_90,2021,11.75,19.19
IRELAND,HSCode_90,2021,25.7,44.49
ISRAEL,HSCode_90,2021,44.92,16.92
ITALY,HSCode_90,2021,78.35,22.79
JAMAICA,HSCode_90,2021,2.82,37.76
